,investment_sector
COLM,US Mid Cap Core
CMA,US Mid Cap Core
CBSH,US Mid Cap Core
CAG,US Mid Cap Core
CXO,US Mid Cap Core
CLGX,US Mid Cap Core
CUBE,US Mid Cap Core
CFR,US Mid Cap Core
DHI,US Mid Cap Core
DRI,US Mid Cap Core
DAR,US Mid Cap Core
FANG,US Mid Cap Core
DFS,US Mid Cap Core
DLTR,US Mid Cap Core
DCI,US Mid Cap Core
DEI,US Mid Cap Core
DOV,US Mid Cap Core
DRE,US Mid Cap Core
DNKN,US Mid Cap Core
ETFC,US Mid Cap Core
EGP,US Mid Cap Core
EHC,US Mid Cap Core
EFX,US Mid Cap Core
ELS,US Mid Cap Core
EQR,US Mid Cap Core
WTRG,US Mid Cap Core
EXPE,US Mid Cap Core
EXR,US Mid Cap Core
FFIV,US Mid Cap Core
FRT,US Mid Cap Core
FCNCA,US Mid Cap Core
FFIN,US Mid Cap Core
FRC,US Mid Cap Core
FLIR,US Mid Cap Core
FMC,US Mid Cap Core
FTV,US Mid Cap Core
FCX,US Mid Cap Core
GNTX,US Mid Cap Core
LOPE,US Mid Cap Core
HAE,US Mid Cap Core
HAS,US Mid Cap Core
HDS,US Mid Cap Core
HQY,US Mid Cap Core
HSIC,US Mid Cap Core
HES,US Mid Cap Core
HRC,US Mid Cap Core
HLT,US Mid Cap Core
HOLX,US Mid Cap Core
HUBB,US Mid Cap Core
HII,US Mid Cap Core
H,US Mid Cap Core
IIVI,US Mid Cap Core
INO,US Mid Cap Core
IART,US Mid Cap Core
IFF,US Mid Cap Core
INVH,US Mid Cap Core
ITT,US Mid Cap Core
JBL,US Mid Cap Core
JBGS,US Mid Cap Core
KMPR,US Mid Cap Core
KEY,US Mid Cap Core
KRC,US Mid Cap Core
KNX,US Mid Cap Core
KLIC,US Mid Cap Core
LAMR,US Mid Cap Core
LSTR,US Mid Cap Core
LEG,US Mid Cap Core
LDOS,US Mid Cap Core
LEN,US Mid Cap Core
LII,US Mid Cap Core
LBRDA,US Mid Cap Core
FWONA,US Mid Cap Core
LSXMA,US Mid Cap Core
LSI,US Mid Cap Core
LECO,US Mid Cap Core
LYV,US Mid Cap Core
LKQ,US Mid Cap Core
LOGM,US Mid Cap Core
LPLA,US Mid Cap Core
MANH,US Mid Cap Core
MLM,US Mid Cap Core
MAS,US Mid Cap Core
MXIM,US Mid Cap Core
MMS,US Mid Cap Core
MGM,US Mid Cap Core
MAA,US Mid Cap Core
MOH,US Mid Cap Core
MSA,US Mid Cap Core
MSM,US Mid Cap Core
NDAQ,US Mid Cap Core
NATI,US Mid Cap Core
NKTR,US Mid Cap Core
NEU,US Mid Cap Core
NVAX,US Mid Cap Core
NUAN,US Mid Cap Core
NUE,US Mid Cap Core
NTNX,US Mid Cap Core
NVR,US Mid Cap Core
ORCC,US Mid Cap Core
PH,US Mid Cap Core
PENN,US Mid Cap Core
PKI,US Mid Cap Core
PXD,US Mid Cap Core
PRAH,US Mid Cap Core
PRI,US Mid Cap Core
QRVO,US Mid Cap Core
DGX,US Mid Cap Core
O,US Mid Cap Core
RETA,US Mid Cap Core
REG,US Mid Cap Core
REXR,US Mid Cap Core
RGLD,US Mid Cap Core
RPM,US Mid Cap Core
SC,US Mid Cap Core
SCI,US Mid Cap Core
SERV,US Mid Cap Core
SBNY,US Mid Cap Core
SWKS,US Mid Cap Core
SWI,US Mid Cap Core
SSNC,US Mid Cap Core
SRCL,US Mid Cap Core
STOR,US Mid Cap Core
SNDE,US Mid Cap Core
SIVB,US Mid Cap Core
SYF,US Mid Cap Core
SYNH,US Mid Cap Core
SNX,US Mid Cap Core
TNDM,US Mid Cap Core
AMTD,US Mid Cap Core
CG,US Mid Cap Core
MIDD,US Mid Cap Core
WEN,US Mid Cap Core
TIF,US Mid Cap Core
TOL,US Mid Cap Core
TRMB,US Mid Cap Core
UDR,US Mid Cap Core
UAA,US Mid Cap Core
UAL,US Mid Cap Core
UHS,US Mid Cap Core
USFD,US Mid Cap Core
MTN,US Mid Cap Core
VER,US Mid Cap Core
VFC,US Mid Cap Core
VICI,US Mid Cap Core
VNO,US Mid Cap Core
VOYA,US Mid Cap Core
GWW,US Mid Cap Core
WAT,US Mid Cap Core
WSO,US Mid Cap Core
WY,US Mid Cap Core
WSM,US Mid Cap Core
WWD,US Mid Cap Core
WRB,US Mid Cap Core
WYNN,US Mid Cap Core
FLWS,US Small Cap Growth
XXII,US Small Cap Growth
TWOU,US Small Cap Growth
DDD,US Small Cap Growth
EGHT,US Small Cap Growth
AAON,US Small Cap Growth
ACIA,US Small Cap Growth
AXDX,US Small Cap Growth
ACIW,US Small Cap Growth
ACMR,US Small Cap Growth
ADMS,US Small Cap Growth
ADUS,US Small Cap Growth
ADSW,US Small Cap Growth
WMS,US Small Cap Growth
AVAV,US Small Cap Growth
AGEN,US Small Cap Growth
AGYS,US Small Cap Growth
AGIO,US Small Cap Growth
AIRG,US Small Cap Growth
AKCA,US Small Cap Growth
AKBA,US Small Cap Growth
AKTS,US Small Cap Growth
ALG,US Small Cap Growth
ALRM,US Small Cap Growth
AIN,US Small Cap Growth
ALDX,US Small Cap Growth
WTER,US Small Cap Growth
AMOT,US Small Cap Growth
APT,US Small Cap Growth
ALTR,US Small Cap Growth
AMTB,US Small Cap Growth
