,investment_sector
GPOR,US Small Cap Core
GWGH,US Small Cap Core
FUL,US Small Cap Core
HWC,US Small Cap Core
HBI,US Small Cap Core
HASI,US Small Cap Core
HLIT,US Small Cap Core
HSC,US Small Cap Core
HWKN,US Small Cap Core
HWBK,US Small Cap Core
HAYN,US Small Cap Core
HCHC,US Small Cap Core
HCI,US Small Cap Core
HCSG,US Small Cap Core
HTLD,US Small Cap Core
HSII,US Small Cap Core
HRI,US Small Cap Core
HFWA,US Small Cap Core
MLHR,US Small Cap Core
HXL,US Small Cap Core
HIBB,US Small Cap Core
HIFS,US Small Cap Core
HMG,US Small Cap Core
HNI,US Small Cap Core
HBCP,US Small Cap Core
HOMB,US Small Cap Core
HMST,US Small Cap Core
HTBI,US Small Cap Core
HMN,US Small Cap Core
TWNK,US Small Cap Core
HBMD,US Small Cap Core
HUBG,US Small Cap Core
HSON,US Small Cap Core
HPP,US Small Cap Core
HDSN,US Small Cap Core
HURN,US Small Cap Core
HVBC,US Small Cap Core
HY,US Small Cap Core
ICFI,US Small Cap Core
IPWR,US Small Cap Core
INVE,US Small Cap Core
IESC,US Small Cap Core
IROQ,US Small Cap Core
ISNS,US Small Cap Core
IMGN,US Small Cap Core
ICD,US Small Cap Core
IHC,US Small Cap Core
INDB,US Small Cap Core
IBCP,US Small Cap Core
IBTX,US Small Cap Core
INFI,US Small Cap Core
III,US Small Cap Core
INWK,US Small Cap Core
ISSC,US Small Cap Core
INVA,US Small Cap Core
NSIT,US Small Cap Core
INSM,US Small Cap Core
NSP,US Small Cap Core
IIIN,US Small Cap Core
IDCC,US Small Cap Core
IBOC,US Small Cap Core
XENT,US Small Cap Core
INTT,US Small Cap Core
INUV,US Small Cap Core
ISTR,US Small Cap Core
ISDR,US Small Cap Core
IZEA,US Small Cap Core
MAYS,US Small Cap Core
JCOM,US Small Cap Core
JACK,US Small Cap Core
JELD,US Small Cap Core
JRSH,US Small Cap Core
JCAP,US Small Cap Core
JBLU,US Small Cap Core
JBSS,US Small Cap Core
JBT,US Small Cap Core
LRN,US Small Cap Core
KAI,US Small Cap Core
KDMN,US Small Cap Core
KALU,US Small Cap Core
KAMN,US Small Cap Core
KBR,US Small Cap Core
KBRS,US Small Cap Core
KRNY,US Small Cap Core
KELYA,US Small Cap Core
KMT,US Small Cap Core
KW,US Small Cap Core
KFRC,US Small Cap Core
KE,US Small Cap Core
KBAL,US Small Cap Core
KEX,US Small Cap Core
KN,US Small Cap Core
KOPN,US Small Cap Core
KOP,US Small Cap Core
KFY,US Small Cap Core
KTOS,US Small Cap Core
KVHI,US Small Cap Core
LJPC,US Small Cap Core
LSBK,US Small Cap Core
LAKE,US Small Cap Core
LNDC,US Small Cap Core
LARK,US Small Cap Core
LE,US Small Cap Core
LNTH,US Small Cap Core
LTRX,US Small Cap Core
LAWS,US Small Cap Core
LZB,US Small Cap Core
LAZY,US Small Cap Core
LEAF,US Small Cap Core
LPTX,US Small Cap Core
LEGH,US Small Cap Core
LXP,US Small Cap Core
LGIH,US Small Cap Core
LGL,US Small Cap Core
LWAY,US Small Cap Core
LMB,US Small Cap Core
LMST,US Small Cap Core
LMNR,US Small Cap Core
LNN,US Small Cap Core
LPCN,US Small Cap Core
LAD,US Small Cap Core
LIVE,US Small Cap Core
LMFA,US Small Cap Core
LONE,US Small Cap Core
LPX,US Small Cap Core
LYTS,US Small Cap Core
LMNX,US Small Cap Core
LBC,US Small Cap Core
MHO,US Small Cap Core
MCBC,US Small Cap Core
MGNX,US Small Cap Core
MSGS,US Small Cap Core
MGYR,US Small Cap Core
MNSB,US Small Cap Core
MLVF,US Small Cap Core
MNTX,US Small Cap Core
MN,US Small Cap Core
MANT,US Small Cap Core
MCHX,US Small Cap Core
MMI,US Small Cap Core
HZO,US Small Cap Core
MRNS,US Small Cap Core
VAC,US Small Cap Core
MTZ,US Small Cap Core
MCFT,US Small Cap Core
MTRX,US Small Cap Core
MATX,US Small Cap Core
MAT,US Small Cap Core
MLP,US Small Cap Core
MUX,US Small Cap Core
MFIN,US Small Cap Core
MBWM,US Small Cap Core
MERC,US Small Cap Core
MBIN,US Small Cap Core
MCY,US Small Cap Core
EBSB,US Small Cap Core
VIVO,US Small Cap Core
MTH,US Small Cap Core
MESA,US Small Cap Core
CASH,US Small Cap Core
MEI,US Small Cap Core
MCBS,US Small Cap Core
MCB,US Small Cap Core
MXC,US Small Cap Core
MGEE,US Small Cap Core
MTG,US Small Cap Core
MGPI,US Small Cap Core
MBOT,US Small Cap Core
MSTR,US Small Cap Core
MVIS,US Small Cap Core
MICT,US Small Cap Core
MBCN,US Small Cap Core
MSEX,US Small Cap Core
MLSS,US Small Cap Core
MLR,US Small Cap Core
MMAC,US Small Cap Core
MOBL,US Small Cap Core
MOD,US Small Cap Core
MNTA,US Small Cap Core
MCRI,US Small Cap Core
MNR,US Small Cap Core
MOG.A,US Small Cap Core
MPAA,US Small Cap Core
COOP,US Small Cap Core
MTBC,US Small Cap Core
MLI,US Small Cap Core
MUSA,US Small Cap Core
MYE,US Small Cap Core
MYRG,US Small Cap Core
NMGX,US Small Cap Core
NH,US Small Cap Core
NK,US Small Cap Core
NTRA,US Small Cap Core
NBHC,US Small Cap Core
NKSH,US Small Cap Core
NGHC,US Small Cap Core
NHLD,US Small Cap Core
NSA,US Small Cap Core
NGVC,US Small Cap Core
NATR,US Small Cap Core
NTUS,US Small Cap Core
NLS,US Small Cap Core
NAVB,US Small Cap Core
NBTB,US Small Cap Core
NP,US Small Cap Core
NMRD,US Small Cap Core
NEON,US Small Cap Core
NPTN,US Small Cap Core
NBSE,US Small Cap Core
GBR,US Small Cap Core
NXST,US Small Cap Core
NEP,US Small Cap Core
NGL,US Small Cap Core
NODK,US Small Cap Core
EGOV,US Small Cap Core
NCBS,US Small Cap Core
NBN,US Small Cap Core
NWPX,US Small Cap Core
NVEE,US Small Cap Core
OVLY,US Small Cap Core
OCSL,US Small Cap Core
OAS,US Small Cap Core
OII,US Small Cap Core
OCFC,US Small Cap Core
OFED,US Small Cap Core
OCUL,US Small Cap Core
ODC,US Small Cap Core
OSBC,US Small Cap Core
ONDK,US Small Cap Core
OMF,US Small Cap Core
OPBK,US Small Cap Core
OGEN,US Small Cap Core
OSUR,US Small Cap Core
ORBC,US Small Cap Core
ORGO,US Small Cap Core
ONVO,US Small Cap Core
OTTW,US Small Cap Core
OVID,US Small Cap Core
PTSI,US Small Cap Core
PACB,US Small Cap Core
ROYT,US Small Cap Core
PMBC,US Small Cap Core
PPBI,US Small Cap Core
PARR,US Small Cap Core
PAR,US Small Cap Core
PRLX,US Small Cap Core
PGRE,US Small Cap Core
TEUM,US Small Cap Core
PKBK,US Small Cap Core
CNXN,US Small Cap Core
PCB,US Small Cap Core
PDCE,US Small Cap Core
PGC,US Small Cap Core
PMT,US Small Cap Core
PEBO,US Small Cap Core
PFIS,US Small Cap Core
PRDO,US Small Cap Core
PESI,US Small Cap Core
PETS,US Small Cap Core
PFNX,US Small Cap Core
PFSW,US Small Cap Core
PAHC,US Small Cap Core
PLAB,US Small Cap Core
DOC,US Small Cap Core
PDM,US Small Cap Core
PNFP,US Small Cap Core
PJT,US Small Cap Core
PLBC,US Small Cap Core
PSTI,US Small Cap Core
PLXP,US Small Cap Core
PLYM,US Small Cap Core
PTE,US Small Cap Core
PCH,US Small Cap Core
POWI,US Small Cap Core
PWFL,US Small Cap Core
PQG,US Small Cap Core
HLTY,US Small Cap Core
POAI,US Small Cap Core
PFBC,US Small Cap Core
PFC,US Small Cap Core
PSMT,US Small Cap Core
PNRG,US Small Cap Core
PRIM,US Small Cap Core
PFIE,US Small Cap Core
PUMP,US Small Cap Core
PROS,US Small Cap Core
PTGX,US Small Cap Core
PTI,US Small Cap Core
PVBC,US Small Cap Core
PSB,US Small Cap Core
PULM,US Small Cap Core
PBYI,US Small Cap Core
PCYO,US Small Cap Core
QCRH,US Small Cap Core
NX,US Small Cap Core
QUIK,US Small Cap Core
QUMU,US Small Cap Core
RDN,US Small Cap Core
RLGT,US Small Cap Core
RAND,US Small Cap Core
RNDB,US Small Cap Core
RNGR,US Small Cap Core
RTLR,US Small Cap Core
RBB,US Small Cap Core
RICK,US Small Cap Core
RMAX,US Small Cap Core
RNWK,US Small Cap Core
RLH,US Small Cap Core
RRR,US Small Cap Core
REED,US Small Cap Core
RBC,US Small Cap Core
RGLS,US Small Cap Core
RLMD,US Small Cap Core
RNST,US Small Cap Core
RCII,US Small Cap Core
RBCAA,US Small Cap Core
RSSS,US Small Cap Core
RGP,US Small Cap Core
RVP,US Small Cap Core
RTRX,US Small Cap Core
RVNC,US Small Cap Core
REX,US Small Cap Core
RGCO,US Small Cap Core
RIGL,US Small Cap Core
RMNI,US Small Cap Core
REI,US Small Cap Core
RCKT,US Small Cap Core
RMTI,US Small Cap Core
SFE,US Small Cap Core
SAL,US Small Cap Core
SANM,US Small Cap Core
BFS,US Small Cap Core
SBBX,US Small Cap Core
SCHN,US Small Cap Core
WORX,US Small Cap Core
SCYX,US Small Cap Core
CKH,US Small Cap Core
SEAS,US Small Cap Core
SLCT,US Small Cap Core
WTTR,US Small Cap Core
SEM,US Small Cap Core
SIGI,US Small Cap Core
SXT,US Small Cap Core
SREV,US Small Cap Core
SGBX,US Small Cap Core
SCVL,US Small Cap Core
SSTK,US Small Cap Core
BSRR,US Small Cap Core
SBOW,US Small Cap Core
SSNT,US Small Cap Core
SFNC,US Small Cap Core
SJW,US Small Cap Core
SLM,US Small Cap Core
SND,US Small Cap Core
SMBK,US Small Cap Core
SWBI,US Small Cap Core
SMSI,US Small Cap Core
SCKT,US Small Cap Core
SOI,US Small Cap Core
SNGX,US Small Cap Core
SAH,US Small Cap Core
SJI,US Small Cap Core
SSB,US Small Cap Core
SFST,US Small Cap Core
SMBC,US Small Cap Core
SONA,US Small Cap Core
SBSI,US Small Cap Core
SP,US Small Cap Core
SAVE,US Small Cap Core
SRC,US Small Cap Core
SFM,US Small Cap Core
SPXC,US Small Cap Core
FLOW,US Small Cap Core
SRAX,US Small Cap Core
SMP,US Small Cap Core
SXI,US Small Cap Core
SGU,US Small Cap Core
SRT,US Small Cap Core
SCS,US Small Cap Core
SCL,US Small Cap Core
STL,US Small Cap Core
SBT,US Small Cap Core
STRL,US Small Cap Core
SHOO,US Small Cap Core
SYBT,US Small Cap Core
SRI,US Small Cap Core
SNEX,US Small Cap Core
STRS,US Small Cap Core
STRM,US Small Cap Core
SPH,US Small Cap Core
SMMF,US Small Cap Core
SUN,US Small Cap Core
SMCI,US Small Cap Core
SCON,US Small Cap Core
SDPI,US Small Cap Core
SGC,US Small Cap Core
SRGA,US Small Cap Core
SGRY,US Small Cap Core
SWKH,US Small Cap Core
SYKE,US Small Cap Core
SYNA,US Small Cap Core
SNDX,US Small Cap Core
SYX,US Small Cap Core
TTOO,US Small Cap Core
SKT,US Small Cap Core
TAYD,US Small Cap Core
TMHC,US Small Cap Core
TCCO,US Small Cap Core
TRC,US Small Cap Core
TLGT,US Small Cap Core
TELL,US Small Cap Core
TBNK,US Small Cap Core
TCBI,US Small Cap Core
TGTX,US Small Cap Core
TBBK,US Small Cap Core
CHEF,US Small Cap Core
TCFC,US Small Cap Core
EML,US Small Cap Core
XONE,US Small Cap Core
GV,US Small Cap Core
HCKT,US Small Cap Core
HHC,US Small Cap Core
INTG,US Small Cap Core
PRSC,US Small Cap Core
RMR,US Small Cap Core
SMPL,US Small Cap Core
JOE,US Small Cap Core
YORW,US Small Cap Core
THR,US Small Cap Core
TSBK,US Small Cap Core
TITN,US Small Cap Core
TMP,US Small Cap Core
TR,US Small Cap Core
TOWN,US Small Cap Core
TCI,US Small Cap Core
TZOO,US Small Cap Core
TREC,US Small Cap Core
TRVN,US Small Cap Core
TPH,US Small Cap Core
TCBK,US Small Cap Core
TRN,US Small Cap Core
TPHS,US Small Cap Core
TRIP,US Small Cap Core
TSC,US Small Cap Core
TBI,US Small Cap Core
TRUE,US Small Cap Core
TTMI,US Small Cap Core
TPB,US Small Cap Core
UCTT,US Small Cap Core
ULBI,US Small Cap Core
UMBF,US Small Cap Core
UFI,US Small Cap Core
UIS,US Small Cap Core
UBCP,US Small Cap Core
UCBI,US Small Cap Core
UBFO,US Small Cap Core
UAMY,US Small Cap Core
USLM,US Small Cap Core
UTL,US Small Cap Core
UNTY,US Small Cap Core
UNVR,US Small Cap Core
UEIC,US Small Cap Core
UHT,US Small Cap Core
ULH,US Small Cap Core
UTI,US Small Cap Core
UEC,US Small Cap Core
UONE,US Small Cap Core
USAC,US Small Cap Core
USAK,US Small Cap Core
USIO,US Small Cap Core
UTMD,US Small Cap Core
EGY,US Small Cap Core
VMI,US Small Cap Core
VALU,US Small Cap Core
VAPO,US Small Cap Core
VREX,US Small Cap Core
VXRT,US Small Cap Core
VGR,US Small Cap Core
VEC,US Small Cap Core
VEL,US Small Cap Core
VRA,US Small Cap Core
VSTM,US Small Cap Core
VRNT,US Small Cap Core
VBTX,US Small Cap Core
VRTV,US Small Cap Core
VTNR,US Small Cap Core
VCTR,US Small Cap Core
VHC,US Small Cap Core
VTSI,US Small Cap Core
VRTS,US Small Cap Core
VRTU,US Small Cap Core
VSH,US Small Cap Core
VNRX,US Small Cap Core
VG,US Small Cap Core
VSEC,US Small Cap Core
WD,US Small Cap Core
WAFD,US Small Cap Core
WTS,US Small Cap Core
WDFC,US Small Cap Core
WBT,US Small Cap Core
WABC,US Small Cap Core
WAL,US Small Cap Core
WNEB,US Small Cap Core
FREE,US Small Cap Core
WHLM,US Small Cap Core
WVVI,US Small Cap Core
WLFC,US Small Cap Core
WWW,US Small Cap Core
WSFS,US Small Cap Core
WW,US Small Cap Core
XSPA,US Small Cap Core
YRCW,US Small Cap Core
ZIXI,US Small Cap Core
ZVO,US Small Cap Core
